what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1480252517469
error,log,,,"Problems occurred building the selected resources.",1480252517638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252517767
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252519057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252520037
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252521930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252522015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252523617
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252523660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252523712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252525553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252529260
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252540725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252540766
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252543571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252544900
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252546646
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252552413
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252555098
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252555098
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252556331
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252556332
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1480252558087
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252558425
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480252558455
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480252561740
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252566257
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252572727
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252576446
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480252578741
