what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552297892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552302794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552309318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552315599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552317164
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552319821
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1480552323126
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1480552336936
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552337745
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552340559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552348669
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552350455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552363193
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480552367570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552427489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552456368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552457827
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552509788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552521315
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552580744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552657869
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552700108
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1480552726845
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552730203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552730293
error,log,,,"Unhandled event loop exception",1480552730313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552732577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552736248
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552738109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552751113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552786256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1480552792477
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1480552793348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552794015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552798992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552814352
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552820524
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552828430
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1480552835391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552836791
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552868650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552874853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552876016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552891357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1480552898787
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1480552904612
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1480552905361
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480552911653
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480553071024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480553217330
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1480580811786
